time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2021-09-05 18:09:00:9940,0.9951,0.2818,1.5663,1.877
2021-09-05 18:09:01:0040,1.3569,0.3956,1.617,2.148
2021-09-05 18:09:01:0160,1.6278,0.3741,1.6062,2.317
2021-09-05 18:09:01:0250,1.6038,0.2208,1.5031,2.209
2021-09-05 18:09:01:0360,1.4331,-0.1011,1.2838,1.927
2021-09-05 18:09:01:0440,1.1716,-0.2781,0.957,1.538
2021-09-05 18:09:01:0560,0.8512,-0.3807,0.4074,1.018
2021-09-05 18:09:01:0640,0.6227,-0.3543,0.0035,0.716
2021-09-05 18:09:01:0780,0.1879,-0.2475,-0.6669,0.736
2021-09-05 18:09:01:0859,0.0634,-0.191,-0.9329,0.954
2021-09-05 18:09:01:0950,-0.1088,-0.1094,-1.4047,1.413
2021-09-05 18:09:01:1030,-0.0922,0.0016,-1.5023,1.505
2021-09-05 18:09:01:1150,0.0433,0.0875,-1.4297,1.433
2021-09-05 18:09:01:1240,0.0448,0.0973,-1.3469,1.351
2021-09-05 18:09:01:1360,0.0596,-0.037,-1.11,1.112
2021-09-05 18:09:01:1440,0.0757,-0.1344,-0.8984,0.912
2021-09-05 18:09:01:1560,0.1016,-0.2444,-0.6596,0.711
2021-09-05 18:09:01:1640,0.1427,-0.246,-0.5518,0.621
2021-09-05 18:09:01:1760,0.1964,-0.1209,-0.4722,0.526
2021-09-05 18:09:01:1850,0.164,-0.0627,-0.5266,0.555
2021-09-05 18:09:01:1970,0.0626,0.0075,-0.5718,0.575
2021-09-05 18:09:01:2030,-0.0049,0.0699,-0.5963,0.6
2021-09-05 18:09:01:2140,-0.1477,-0.0106,-0.6554,0.672
2021-09-05 18:09:01:2240,-0.3121,-0.0857,-0.7419,0.809
2021-09-05 18:09:01:2350,-0.3625,-0.0467,-0.6334,0.731
2021-09-05 18:09:01:2440,-0.3367,-0.0069,-0.392,0.517
2021-09-05 18:09:01:2550,-0.4251,0.0925,-0.2371,0.495
2021-09-05 18:09:01:2640,-0.486,0.0488,-0.1936,0.525
2021-09-05 18:09:01:2760,-0.5832,0.023,-0.2461,0.633
2021-09-05 18:09:01:2839,-0.7191,0.0575,-0.3514,0.802
2021-09-05 18:09:01:2960,-0.8558,0.1787,-0.6174,1.07
2021-09-05 18:09:01:3040,-1.0365,0.4975,-0.8769,1.446
2021-09-05 18:09:01:3170,-0.9766,0.7662,-1.1518,1.693
2021-09-05 18:09:01:3240,-0.8441,0.7934,-1.2512,1.705
2021-09-05 18:09:01:3350,-0.5015,0.8266,-1.2666,1.593
2021-09-05 18:09:01:3439,-0.2658,0.791,-0.7896,1.149
2021-09-05 18:09:01:3560,-0.4414,0.7496,-0.1558,0.884
2021-09-05 18:09:01:3640,-0.6019,0.5597,0.0035,0.822
2021-09-05 18:09:01:3750,-0.7356,0.3484,0.051,0.816
2021-09-05 18:09:01:3840,-0.6925,0.3743,0.1798,0.807
2021-09-05 18:09:01:3950,-0.4367,0.4331,0.3235,0.695
2021-09-05 18:09:01:4040,-0.2247,0.3819,0.4071,0.602
2021-09-05 18:09:01:4150,-0.0369,0.2401,0.5103,0.565
2021-09-05 18:09:01:4240,0.0482,0.1404,0.6504,0.667
2021-09-05 18:09:01:4370,0.0856,-0.0108,0.8543,0.859
2021-09-05 18:09:01:4440,0.0827,-0.114,0.9643,0.975
2021-09-05 18:09:01:4550,0.1694,-0.2777,1.1674,1.212
2021-09-05 18:09:01:4650,0.2213,-0.3943,1.3486,1.422
2021-09-05 18:09:01:4770,0.1683,-0.6087,1.6255,1.744
2021-09-05 18:09:01:4840,0.1643,-0.6783,1.7254,1.861
2021-09-05 18:09:01:4950,0.1372,-0.6875,1.5725,1.722
2021-09-05 18:09:01:5040,0.1493,-0.5999,1.1701,1.323
2021-09-05 18:09:01:5160,0.1074,-0.3076,0.4492,0.555
2021-09-05 18:09:01:5250,0.1232,-0.1685,0.0152,0.209
2021-09-05 18:09:01:5370,0.1105,0.1112,-0.6688,0.687
2021-09-05 18:09:01:5440,0.1678,0.2639,-1.0049,1.052
2021-09-05 18:09:01:5560,0.2108,0.4829,-1.3335,1.434
2021-09-05 18:09:01:5659,0.2521,0.5782,-1.4657,1.596
2021-09-05 18:09:01:5760,0.3252,0.6832,-1.6172,1.785
2021-09-05 18:09:01:5850,0.3601,0.6857,-1.635,1.809
2021-09-05 18:09:01:5950,0.4059,0.6544,-1.534,1.716
2021-09-05 18:09:01:6030,0.466,0.5892,-1.3484,1.544
2021-09-05 18:09:01:6160,0.5336,0.4575,-0.9183,1.156
2021-09-05 18:09:01:6240,0.5219,0.4165,-0.6984,0.966
2021-09-05 18:09:01:6370,0.3873,0.3675,-0.6546,0.845
2021-09-05 18:09:01:6430,0.2314,0.3457,-0.7359,0.845
2021-09-05 18:09:01:6560,0.016,0.3581,-0.7843,0.862
2021-09-05 18:09:01:6640,-0.0934,0.4259,-0.7667,0.882
2021-09-05 18:09:01:6760,-0.2692,0.4949,-0.6927,0.893
2021-09-05 18:09:01:6840,-0.3714,0.5089,-0.7127,0.951
2021-09-05 18:09:01:6949,-0.4409,0.4402,-0.6731,0.917
2021-09-05 18:09:01:7050,-0.4063,0.4371,-0.5786,0.831
2021-09-05 18:09:01:7160,-0.2749,0.5169,-0.4604,0.745
2021-09-05 18:09:01:7250,-0.1515,0.5524,-0.3126,0.653
2021-09-05 18:09:01:7370,-0.073,0.5975,-0.2859,0.666
2021-09-05 18:09:01:7440,-0.0752,0.6038,-0.3959,0.726
2021-09-05 18:09:01:7550,-0.0514,0.6114,-0.5372,0.816
2021-09-05 18:09:01:7650,0.0121,0.6074,-0.5124,0.795
2021-09-05 18:09:01:7760,0.0221,0.4726,-0.3786,0.606
2021-09-05 18:09:01:7840,-0.0045,0.3835,-0.318,0.498
2021-09-05 18:09:01:7970,0.0976,0.2879,-0.1616,0.344
2021-09-05 18:09:01:8050,0.129,0.2411,-0.0842,0.286
2021-09-05 18:09:01:8149,0.2146,0.1363,-0.2856,0.382
2021-09-05 18:09:01:8240,0.2767,0.095,-0.4448,0.532
2021-09-05 18:09:01:8370,0.1598,0.2065,-0.7135,0.76
2021-09-05 18:09:01:8440,-0.0248,0.1993,-1.0228,1.042
2021-09-05 18:09:01:8540,-0.3706,0.1654,-1.4304,1.487
2021-09-05 18:09:01:8640,-0.7229,0.2654,-1.6642,1.834
2021-09-05 18:09:01:8750,-0.9215,0.473,-1.713,2.002
2021-09-05 18:09:01:8860,-0.8264,0.4895,-1.5433,1.818
2021-09-05 18:09:01:8960,-0.5275,0.0216,-1.0454,1.171
2021-09-05 18:09:01:9050,-0.1336,-0.5646,-0.3372,0.671
2021-09-05 18:09:01:9150,0.256,-1.2017,0.673,1.401
2021-09-05 18:09:01:9240,0.2267,-1.5657,1.2219,1.999
2021-09-05 18:09:01:9360,-0.0499,-1.8783,1.4293,2.361
2021-09-05 18:09:01:9440,-0.3157,-1.8421,1.189,2.215
2021-09-05 18:09:01:9560,-0.7132,-1.4152,0.4508,1.648
2021-09-05 18:09:01:9640,-0.8336,-1.053,-0.0685,1.345
2021-09-05 18:09:01:9750,-0.8508,-0.381,-0.7406,1.191
2021-09-05 18:09:01:9870,-0.8394,0.0319,-0.9861,1.295
2021-09-05 18:09:01:9970,-0.7649,0.2309,-0.8877,1.194
2021-09-05 18:09:02:0050,-0.6446,0.2894,-0.6419,0.955
2021-09-05 18:09:02:0150,-0.4645,0.1428,-0.0473,0.488
2021-09-05 18:09:02:0240,-0.3069,-0.0712,0.4693,0.565
2021-09-05 18:09:02:0350,-0.0434,-0.2847,1.1315,1.168
2021-09-05 18:09:02:0440,0.1862,-0.4178,1.6406,1.703
2021-09-05 18:09:02:0560,0.516,-0.5258,2.3008,2.416
2021-09-05 18:09:02:0650,0.6715,-0.5972,2.6079,2.758
2021-09-05 18:09:02:0740,0.9119,-0.742,2.7087,2.953
2021-09-05 18:09:02:0859,1.0471,-0.6956,2.3937,2.704
2021-09-05 18:09:02:0960,1.0699,-0.5842,1.5216,1.95
2021-09-05 18:09:02:1050,1.1005,-0.4534,0.963,1.531
2021-09-05 18:09:02:1150,0.9921,-0.2458,0.2396,1.05
2021-09-05 18:09:02:1240,0.8343,-0.1746,-0.238,0.885
2021-09-05 18:09:02:1360,0.585,-0.0106,-0.8465,1.029
2021-09-05 18:09:02:1440,0.4155,0.0327,-1.2095,1.279
2021-09-05 18:09:02:1570,0.0977,0.0909,-1.815,1.82
2021-09-05 18:09:02:1650,0.0089,0.1368,-1.9968,2.002
2021-09-05 18:09:02:1739,0.0707,0.2339,-2.1593,2.173
2021-09-05 18:09:02:1920,0.1055,0.1916,-2.2064,2.217
2021-09-05 18:09:02:1960,0.1096,0.0732,-2.1211,2.125
2021-09-05 18:09:02:2039,0.2245,0.0247,-1.906,1.919
2021-09-05 18:09:02:2150,0.3424,-0.1272,-1.2219,1.275
2021-09-05 18:09:02:2240,0.369,-0.2105,-0.7954,0.902
2021-09-05 18:09:02:2360,0.3916,-0.4462,-0.2126,0.631
2021-09-05 18:09:02:2440,0.361,-0.6687,0.0767,0.764
2021-09-05 18:09:02:2560,0.387,-0.884,0.2668,1.001
2021-09-05 18:09:02:2640,0.4529,-1.0512,0.3078,1.185
2021-09-05 18:09:02:2750,0.4538,-1.2133,0.0905,1.299
2021-09-05 18:09:02:2849,0.3862,-1.2909,-0.4278,1.414
2021-09-05 18:09:02:2960,0.3513,-1.3973,-0.8973,1.697
2021-09-05 18:09:02:3040,0.4131,-1.428,-0.9189,1.748
2021-09-05 18:09:02:3150,0.4944,-1.586,-0.529,1.743
2021-09-05 18:09:02:3240,0.6632,-1.8374,-0.2564,1.97
2021-09-05 18:09:02:3360,0.8714,-2.2846,-0.2171,2.455
2021-09-05 18:09:02:3439,0.9306,-2.4704,-0.4984,2.686
2021-09-05 18:09:02:3560,1.3121,-2.2524,-1.0375,2.806
2021-09-05 18:09:02:3660,1.5902,-2.0489,-1.3754,2.936
2021-09-05 18:09:02:3750,1.9812,-1.9643,-1.6306,3.231
2021-09-05 18:09:02:3850,2.0977,-1.9099,-1.4726,3.196
2021-09-05 18:09:02:3960,1.9812,-2.0173,-0.9344,2.978
2021-09-05 18:09:02:4050,1.8075,-2.2963,-0.543,2.972
2021-09-05 18:09:02:4160,1.7029,-2.6527,-0.2902,3.166
2021-09-05 18:09:02:4240,1.4965,-2.6962,0.0218,3.084
2021-09-05 18:09:02:4360,1.2,-2.5442,0.6144,2.879
2021-09-05 18:09:02:4450,0.9717,-2.3507,1.0558,2.754
2021-09-05 18:09:02:4580,0.6193,-1.8913,1.2389,2.344
2021-09-05 18:09:02:4640,0.2154,-1.4417,1.1198,1.838
2021-09-05 18:09:02:4750,-0.4972,-0.5749,0.7206,1.047
2021-09-05 18:09:02:4860,-0.9091,0.1401,0.4808,1.038
2021-09-05 18:09:02:4970,-1.3087,0.9665,0.4577,1.69
2021-09-05 18:09:02:5050,-1.6237,1.4735,0.736,2.313
2021-09-05 18:09:02:5160,-1.8611,1.8285,1.5158,3.017
2021-09-05 18:09:02:5230,-1.9299,1.9189,2.2026,3.501
2021-09-05 18:09:02:5360,-2.0755,1.9834,3.0054,4.156
2021-09-05 18:09:02:5450,-2.1776,2.0752,3.3469,4.5
2021-09-05 18:09:02:5560,-2.2251,2.2114,3.6667,4.826
2021-09-05 18:09:02:5629,-2.1859,2.4024,3.6888,4.915
