time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2021-09-05 18:10:39:4010,-0.345,-1.3517,0.2133,1.411
2021-09-05 18:10:39:4120,-0.3511,-1.1749,-0.1123,1.231
2021-09-05 18:10:39:4210,-0.2582,-1.0777,-0.112,1.114
2021-09-05 18:10:39:4420,-0.0064,-1.1515,0.2965,1.189
2021-09-05 18:10:39:4430,0.2288,-1.2254,0.8736,1.522
2021-09-05 18:10:39:4530,0.7813,-1.3823,1.7918,2.394
2021-09-05 18:10:39:4610,0.9657,-1.4927,2.3885,2.978
2021-09-05 18:10:39:4720,1.2124,-1.6225,2.865,3.509
2021-09-05 18:10:39:4810,1.2299,-1.8127,2.8019,3.557
2021-09-05 18:10:39:4920,1.1301,-1.9781,2.4296,3.331
2021-09-05 18:10:39:5000,1.1009,-2.0483,2.0054,3.071
2021-09-05 18:10:39:5130,1.0527,-1.8998,1.3712,2.569
2021-09-05 18:10:39:5220,0.9995,-1.8012,0.885,2.242
2021-09-05 18:10:39:5470,0.896,-1.7999,0.474,2.066
2021-09-05 18:10:39:5470,0.813,-1.8258,0.3774,2.034
2021-09-05 18:10:39:5560,0.6373,-1.8731,0.1885,1.987
2021-09-05 18:10:39:5600,0.4878,-1.9006,0.001,1.962
2021-09-05 18:10:39:5740,0.4389,-1.8917,-0.3152,1.967
2021-09-05 18:10:39:5800,0.4418,-1.8347,-0.5447,1.964
2021-09-05 18:10:39:5920,0.3634,-1.7699,-1.0041,2.067
2021-09-05 18:10:39:6020,0.3292,-1.7873,-1.2824,2.224
2021-09-05 18:10:39:6120,0.2582,-1.8076,-1.6392,2.454
2021-09-05 18:10:39:6210,0.2096,-1.8006,-1.8771,2.609
2021-09-05 18:10:39:6430,0.1197,-1.8344,-1.9685,2.693
2021-09-05 18:10:39:6430,0.1046,-1.8626,-1.9907,2.728
2021-09-05 18:10:39:6520,0.0193,-1.9002,-2.0172,2.771
2021-09-05 18:10:39:6620,-0.0643,-1.9444,-2.1023,2.864
2021-09-05 18:10:39:6730,-0.2067,-2.0591,-2.3722,3.148
2021-09-05 18:10:39:6810,-0.2039,-2.0641,-2.3597,3.142
2021-09-05 18:10:39:6929,-0.0605,-1.8869,-2.037,2.777
2021-09-05 18:10:39:7020,0.0531,-1.781,-1.7584,2.503
2021-09-05 18:10:39:7120,0.1097,-1.7548,-1.4274,2.265
2021-09-05 18:10:39:7210,0.0325,-1.8069,-1.4599,2.323
2021-09-05 18:10:39:7440,0.0807,-1.7412,-1.3751,2.22
2021-09-05 18:10:39:7450,0.0846,-1.5976,-1.3463,2.091
2021-09-05 18:10:39:7520,0.0695,-1.4083,-1.2877,1.91
2021-09-05 18:10:39:7610,0.0324,-1.3882,-1.383,1.96
2021-09-05 18:10:39:7720,-0.0573,-1.4201,-1.3712,1.975
2021-09-05 18:10:39:7800,-0.1645,-1.419,-1.3349,1.955
2021-09-05 18:10:39:7940,-0.3255,-1.4743,-1.1712,1.911
2021-09-05 18:10:39:8010,-0.4298,-1.4067,-0.9134,1.731
2021-09-05 18:10:39:8129,-0.5267,-1.2955,-0.5076,1.488
2021-09-05 18:10:39:8210,-0.579,-1.2276,-0.2897,1.388
2021-09-05 18:10:39:8420,-0.6198,-1.0333,-0.1648,1.216
2021-09-05 18:10:39:8420,-0.553,-0.8599,-0.1687,1.036
2021-09-05 18:10:39:8520,-0.4704,-0.6449,-0.1345,0.809
2021-09-05 18:10:39:8600,-0.3173,-0.4162,0.032,0.524
2021-09-05 18:10:39:8720,-0.1658,-0.3533,0.4565,0.601
2021-09-05 18:10:39:8800,-0.0618,-0.4435,0.9372,1.039
2021-09-05 18:10:39:8930,-0.0525,-0.5431,1.5627,1.655
2021-09-05 18:10:39:9000,-0.106,-0.5107,1.9079,1.978
2021-09-05 18:10:39:9120,-0.1504,-0.3768,2.2488,2.285
2021-09-05 18:10:39:9220,-0.206,-0.1682,2.243,2.259
2021-09-05 18:10:39:9450,-0.3177,0.2217,1.7298,1.773
2021-09-05 18:10:39:9460,-0.4393,0.5476,1.2379,1.423
2021-09-05 18:10:39:9510,-0.4874,0.9335,0.7627,1.3
2021-09-05 18:10:39:9610,-0.4459,1.3041,0.6252,1.513
2021-09-05 18:10:39:9710,-0.4377,1.6014,0.6226,1.773
2021-09-05 18:10:39:9820,-0.4491,1.7464,0.7414,1.95
2021-09-05 18:10:39:9930,-0.5455,1.6839,0.9529,2.01
2021-09-05 18:10:40:0000,-0.5901,1.6181,1.2064,2.103
2021-09-05 18:10:40:0120,-0.5624,1.5855,1.4774,2.239
2021-09-05 18:10:40:0210,-0.5548,1.6229,1.6123,2.354
2021-09-05 18:10:40:0450,-0.5091,1.6415,1.6635,2.392
2021-09-05 18:10:40:0460,-0.5224,1.6964,1.691,2.452
2021-09-05 18:10:40:0530,-0.5516,1.7344,1.5773,2.408
2021-09-05 18:10:40:0610,-0.6007,1.7635,1.4039,2.333
2021-09-05 18:10:40:0709,-0.7285,1.8254,1.0317,2.22
2021-09-05 18:10:40:0810,-0.7943,1.8534,0.7074,2.137
2021-09-05 18:10:40:0920,-0.8545,1.9057,0.3473,2.117
2021-09-05 18:10:40:1000,-0.9245,1.9309,0.1789,2.148
2021-09-05 18:10:40:1130,-0.933,1.9333,0.1354,2.151
2021-09-05 18:10:40:1200,-0.9131,1.8821,0.1909,2.101
2021-09-05 18:10:40:1419,-0.94,1.7619,0.2905,2.018
2021-09-05 18:10:40:1429,-0.9311,1.6646,0.2523,1.924
2021-09-05 18:10:40:1520,-0.8873,1.5774,0.1719,1.818
2021-09-05 18:10:40:1600,-0.8047,1.5523,0.1327,1.753
2021-09-05 18:10:40:1739,-0.738,1.5247,0.1991,1.706
2021-09-05 18:10:40:1820,-0.6579,1.4719,0.3854,1.658
2021-09-05 18:10:40:1910,-0.5717,1.3795,0.6629,1.634
2021-09-05 18:10:40:2000,-0.5306,1.2779,0.8114,1.604
2021-09-05 18:10:40:2120,-0.5371,1.1581,0.9387,1.585
2021-09-05 18:10:40:2210,-0.5622,1.0563,1.0273,1.577
2021-09-05 18:10:40:2430,-0.5719,0.9596,1.1341,1.592
2021-09-05 18:10:40:2440,-0.5994,0.9091,1.098,1.546
2021-09-05 18:10:40:2520,-0.6773,0.8297,0.9623,1.44
2021-09-05 18:10:40:2610,-0.7248,0.74,0.8682,1.352
2021-09-05 18:10:40:2730,-0.7232,0.6259,0.7638,1.224
2021-09-05 18:10:40:2810,-0.6885,0.5385,0.7214,1.133
2021-09-05 18:10:40:2930,-0.6211,0.3799,0.4996,0.883
2021-09-05 18:10:40:3000,-0.6014,0.2472,0.3283,0.728
2021-09-05 18:10:40:3120,-0.6541,0.1524,0.078,0.676
2021-09-05 18:10:40:3210,-0.5512,0.1857,-0.0839,0.588
2021-09-05 18:10:40:3430,-0.6892,0.1792,-0.5303,0.888
2021-09-05 18:10:40:3430,-0.7673,0.1832,-0.9113,1.205
2021-09-05 18:10:40:3530,-0.8711,0.1245,-1.675,1.892
2021-09-05 18:10:40:3620,-0.8073,0.1605,-1.8977,2.069
2021-09-05 18:10:40:3720,-0.7136,0.1394,-1.8026,1.944
2021-09-05 18:10:40:3810,-0.7954,0.0596,-1.715,1.891
2021-09-05 18:10:40:3940,-0.8575,-0.1365,-1.239,1.513
2021-09-05 18:10:40:4010,-0.725,-0.3569,-0.6947,1.066
2021-09-05 18:10:40:4120,-0.4235,-0.5542,0.0623,0.7
2021-09-05 18:10:40:4210,-0.0848,-0.6829,0.4605,0.828
2021-09-05 18:10:40:4430,0.1796,-1.0321,0.6684,1.243
2021-09-05 18:10:40:4430,0.2929,-1.1337,0.7673,1.4
2021-09-05 18:10:40:4520,0.2221,-1.2741,0.5548,1.407
2021-09-05 18:10:40:4600,0.2176,-1.1853,0.2884,1.239
2021-09-05 18:10:40:4730,0.104,-1.1581,-0.363,1.218
2021-09-05 18:10:40:4810,0.0053,-1.0545,-0.902,1.388
2021-09-05 18:10:40:4930,-0.1932,-0.9765,-1.2208,1.575
2021-09-05 18:10:40:5000,-0.2853,-0.9831,-1.0504,1.467
2021-09-05 18:10:40:5120,-0.1764,-0.9757,-0.4023,1.07
2021-09-05 18:10:40:5200,0.0049,-1.0055,0.1468,1.016
2021-09-05 18:10:40:5390,0.1617,-1.144,0.7105,1.356
2021-09-05 18:10:40:5400,0.3078,-1.2804,1.0848,1.706
2021-09-05 18:10:40:5520,0.6372,-1.3265,1.394,2.027
2021-09-05 18:10:40:5610,0.6715,-1.2944,1.5431,2.123
2021-09-05 18:10:40:5729,0.795,-1.3693,1.6369,2.277
2021-09-05 18:10:40:5830,0.8178,-1.4006,1.5672,2.255
2021-09-05 18:10:40:5930,0.7231,-1.3936,1.3698,2.084
2021-09-05 18:10:40:6020,0.6543,-1.4124,1.1609,1.942
2021-09-05 18:10:40:6120,0.4569,-1.4358,0.6972,1.66
2021-09-05 18:10:40:6200,0.2607,-1.5055,0.4785,1.601
2021-09-05 18:10:40:6350,0.0904,-1.6284,0.2745,1.654
2021-09-05 18:10:40:6400,-0.0161,-1.6041,0.1279,1.609
2021-09-05 18:10:40:6520,-0.0861,-1.511,-0.3455,1.552
2021-09-05 18:10:40:6600,-0.1755,-1.4627,-0.8863,1.719
2021-09-05 18:10:40:6720,-0.3414,-1.2549,-1.409,1.917
2021-09-05 18:10:40:6830,-0.357,-1.157,-1.6353,2.035
2021-09-05 18:10:40:6929,-0.5783,-1.0666,-1.9204,2.272
2021-09-05 18:10:40:7010,-0.7122,-0.9938,-2.0687,2.403
2021-09-05 18:10:40:7120,-0.9077,-1.0097,-2.1279,2.524
2021-09-05 18:10:40:7200,-1.0081,-0.9962,-2.0861,2.522
2021-09-05 18:10:40:7360,-0.9804,-0.9966,-1.7845,2.267
2021-09-05 18:10:40:7400,-0.853,-1.0007,-1.5335,2.02
2021-09-05 18:10:40:7520,-0.6754,-0.9658,-1.0307,1.566
2021-09-05 18:10:40:7600,-0.541,-0.9592,-0.6584,1.283
2021-09-05 18:10:40:7720,-0.4085,-1.0339,-0.1909,1.128
2021-09-05 18:10:40:7810,-0.3494,-1.0649,-0.028,1.121
2021-09-05 18:10:40:7940,-0.1625,-1.0907,0.1269,1.11
2021-09-05 18:10:40:8010,-0.0742,-1.0525,0.1535,1.066
2021-09-05 18:10:40:8159,0.0907,-1.065,0.1848,1.085
2021-09-05 18:10:40:8380,0.1468,-1.0903,0.1413,1.109
2021-09-05 18:10:40:8390,0.1707,-1.2215,-0.0202,1.234
2021-09-05 18:10:40:8400,0.2457,-1.3123,-0.113,1.34
2021-09-05 18:10:40:8520,0.3005,-1.5292,-0.2688,1.582
2021-09-05 18:10:40:8610,0.3116,-1.5755,-0.3987,1.655
2021-09-05 18:10:40:8730,0.3431,-1.7494,-0.5789,1.874
2021-09-05 18:10:40:8800,0.2711,-1.7371,-0.5415,1.84
2021-09-05 18:10:40:8940,0.327,-1.9055,-0.6618,2.043
2021-09-05 18:10:40:9000,0.3654,-1.9859,-0.682,2.131
2021-09-05 18:10:40:9160,0.4932,-1.9962,-0.6304,2.151
2021-09-05 18:10:40:9350,0.771,-1.9791,-0.4975,2.181
2021-09-05 18:10:40:9350,0.9511,-1.9878,-0.3819,2.236
2021-09-05 18:10:40:9400,0.968,-1.9414,-0.4591,2.217
2021-09-05 18:10:40:9520,1.0386,-1.8988,-0.6634,2.264
2021-09-05 18:10:40:9610,1.1025,-1.9052,-0.688,2.306
2021-09-05 18:10:40:9730,1.0366,-1.9354,-0.1767,2.203
2021-09-05 18:10:40:9810,0.8655,-1.9789,0.5233,2.222
2021-09-05 18:10:40:9930,0.5407,-2.1786,1.1476,2.521
2021-09-05 18:10:41:0000,0.1429,-2.2538,1.3483,2.63
2021-09-05 18:10:41:0160,-0.1748,-2.0137,1.3773,2.446
2021-09-05 18:10:41:0210,-0.3178,-1.6182,0.8587,1.859
2021-09-05 18:10:41:0340,-0.5118,-0.8668,-0.2169,1.03
2021-09-05 18:10:41:0400,-0.5501,-0.3732,-1.0635,1.254
2021-09-05 18:10:41:0520,-0.5487,0.2446,-1.7771,1.876
2021-09-05 18:10:41:0610,-0.5198,0.7549,-2.0325,2.23
2021-09-05 18:10:41:0730,-0.3253,1.2321,-1.7405,2.157
2021-09-05 18:10:41:0810,-0.0059,1.4893,-1.032,1.812
2021-09-05 18:10:41:0930,0.2837,1.7015,0.2664,1.745
2021-09-05 18:10:41:1010,0.2827,1.6105,0.994,1.914
2021-09-05 18:10:41:1120,0.3854,1.4248,1.765,2.301
2021-09-05 18:10:41:1240,0.4085,1.4783,2.3407,2.798
2021-09-05 18:10:41:1440,0.4168,1.5769,3.0398,3.45
2021-09-05 18:10:41:1440,0.3284,1.7049,3.4562,3.868
2021-09-05 18:10:41:1510,0.0078,1.8242,3.7139,4.138
2021-09-05 18:10:41:1610,-0.3804,1.8745,3.5891,4.067
2021-09-05 18:10:41:1729,-1.1919,1.9126,2.7944,3.59
2021-09-05 18:10:41:1810,-1.6116,2.0162,2.0942,3.324
2021-09-05 18:10:41:1940,-2.1551,2.3612,1.0251,3.357
2021-09-05 18:10:41:2000,-2.4403,2.5048,0.6925,3.565
2021-09-05 18:10:41:2120,-2.7027,2.6578,0.5354,3.828
2021-09-05 18:10:41:2240,-2.7424,2.7202,0.4618,3.89
2021-09-05 18:10:41:2460,-2.8556,2.6843,0.5102,3.952
2021-09-05 18:10:41:2470,-2.8256,2.725,0.5981,3.971
2021-09-05 18:10:41:2510,-2.6964,2.6853,0.5942,3.852
2021-09-05 18:10:41:2600,-2.5496,2.7699,0.6677,3.823
2021-09-05 18:10:41:2730,-2.2447,2.8693,0.8046,3.731
2021-09-05 18:10:41:2810,-2.0461,2.9028,0.8565,3.653
2021-09-05 18:10:41:2940,-1.7566,2.9076,1.0144,3.545
2021-09-05 18:10:41:3010,-1.5961,2.8722,1.1024,3.466
2021-09-05 18:10:41:3120,-1.3222,2.786,1.245,3.326
2021-09-05 18:10:41:3240,-1.1495,2.6764,1.2024,3.151
2021-09-05 18:10:41:3550,-1.025,2.5492,1.1849,2.992
2021-09-05 18:10:41:3560,-0.9752,2.4585,1.1374,2.879
2021-09-05 18:10:41:3560,-0.907,2.2546,1.163,2.694
2021-09-05 18:10:41:3660,-0.9083,2.1223,1.1968,2.6
2021-09-05 18:10:41:3730,-0.9474,1.7935,1.148,2.331
2021-09-05 18:10:41:3800,-0.9959,1.5747,1.0879,2.158
2021-09-05 18:10:41:3930,-1.1159,1.2636,1.1076,2.017
2021-09-05 18:10:41:4000,-1.0291,1.0723,1.0932,1.845
2021-09-05 18:10:41:4120,-1.0171,0.8995,1.0242,1.701
2021-09-05 18:10:41:4230,-0.9539,0.7928,0.8741,1.517
2021-09-05 18:10:41:4530,-0.783,0.5777,0.4853,1.087
2021-09-05 18:10:41:4530,-0.6688,0.4472,0.1784,0.824
2021-09-05 18:10:41:4540,-0.6098,0.424,-0.2126,0.773
2021-09-05 18:10:41:4610,-0.5642,0.3005,-0.4555,0.785
2021-09-05 18:10:41:4720,-0.4769,0.1329,-0.5283,0.724
2021-09-05 18:10:41:4810,-0.5554,0.0161,-0.7079,0.9
2021-09-05 18:10:41:4930,-0.6385,-0.2026,-0.8999,1.122
2021-09-05 18:10:41:5010,-0.555,-0.3324,-0.8929,1.103
2021-09-05 18:10:41:5120,-0.5232,-0.4122,-0.8374,1.07
2021-09-05 18:10:41:5210,-0.4125,-0.5443,-0.6753,0.96
2021-09-05 18:10:41:5320,-0.3094,-0.7002,-0.3208,0.83
2021-09-05 18:10:41:5410,-0.135,-0.9243,0.0253,0.934
2021-09-05 18:10:41:5520,0.082,-1.0975,0.4269,1.18
2021-09-05 18:10:41:5600,0.2986,-1.2604,0.63,1.44
2021-09-05 18:10:41:5719,0.5572,-1.3856,0.7829,1.686
2021-09-05 18:10:41:5810,0.6675,-1.4619,0.8609,1.823
2021-09-05 18:10:41:5920,0.7671,-1.5584,0.8299,1.925
2021-09-05 18:10:41:6000,0.8413,-1.6653,0.7847,2.024
2021-09-05 18:10:41:6140,0.9383,-1.8246,0.885,2.234
2021-09-05 18:10:41:6210,0.9891,-1.9306,1.1084,2.436
2021-09-05 18:10:41:6340,1.0469,-2.1481,1.4117,2.775
2021-09-05 18:10:41:6410,1.0815,-2.3593,1.594,3.046
2021-09-05 18:10:41:6510,1.0379,-2.5879,1.6437,3.237
2021-09-05 18:10:41:6610,0.9465,-2.7779,1.4143,3.258
2021-09-05 18:10:41:6780,0.7647,-2.8479,1.0394,3.127
2021-09-05 18:10:41:6810,0.6243,-2.84,0.6118,2.972
2021-09-05 18:10:41:6919,0.5218,-2.7708,-0.095,2.821
2021-09-05 18:10:41:7020,0.4104,-2.8027,-0.7785,2.938
2021-09-05 18:10:41:7140,0.2563,-2.6188,-1.554,3.056
2021-09-05 18:10:41:7210,0.2293,-2.5463,-1.9626,3.223
2021-09-05 18:10:41:7350,0.1118,-2.5361,-2.4905,3.556
2021-09-05 18:10:41:7410,0.0168,-2.516,-2.7213,3.706
2021-09-05 18:10:41:7500,-0.0928,-2.5852,-2.9378,3.914
2021-09-05 18:10:41:7610,-0.1647,-2.6022,-2.8581,3.869
2021-09-05 18:10:41:7720,-0.2069,-2.6409,-2.6309,3.733
2021-09-05 18:10:41:7800,-0.1539,-2.7668,-2.4895,3.725
2021-09-05 18:10:41:7920,-0.0554,-3.0273,-2.3799,3.851
2021-09-05 18:10:41:8020,-0.0277,-3.104,-2.3613,3.9
2021-09-05 18:10:41:8120,0.1155,-3.1709,-2.1679,3.843
2021-09-05 18:10:41:8210,0.2685,-3.1318,-1.944,3.696
2021-09-05 18:10:41:8320,0.4265,-3.1531,-1.5628,3.545
2021-09-05 18:10:41:8400,0.4229,-3.1047,-1.3574,3.415
2021-09-05 18:10:41:8550,0.4537,-3.1297,-1.0337,3.327
2021-09-05 18:10:41:8600,0.4365,-3.1069,-0.8122,3.241
2021-09-05 18:10:41:8720,0.4187,-3.0351,-0.3987,3.09
2021-09-05 18:10:41:8810,0.4081,-2.8704,-0.1085,2.901
2021-09-05 18:10:41:8930,0.5016,-2.7588,-0.0146,2.804
2021-09-05 18:10:41:9020,0.5555,-2.6519,-0.1134,2.712
2021-09-05 18:10:41:9120,0.5545,-2.4362,-0.1625,2.504
2021-09-05 18:10:41:9210,0.5841,-2.2806,-0.1569,2.359
2021-09-05 18:10:41:9320,0.6087,-2.1725,-0.0828,2.258
2021-09-05 18:10:41:9400,0.5379,-1.9844,0.1238,2.06
2021-09-05 18:10:41:9510,0.568,-1.7576,0.4856,1.91
2021-09-05 18:10:41:9610,0.6989,-1.6357,0.747,1.929
2021-09-05 18:10:41:9730,0.8081,-1.4507,1.1161,2.001
2021-09-05 18:10:41:9800,0.8585,-1.3244,1.2643,2.022
2021-09-05 18:10:41:9910,0.8494,-1.1929,1.4042,2.029
2021-09-05 18:10:42:0010,0.7876,-1.0444,1.4082,1.922
2021-09-05 18:10:42:0130,0.6794,-1.0017,1.3329,1.8
2021-09-05 18:10:42:0210,0.5393,-0.9695,1.3528,1.749
2021-09-05 18:10:42:0330,0.3866,-0.9366,1.5205,1.827
2021-09-05 18:10:42:0509,0.2841,-0.848,1.6838,1.907
2021-09-05 18:10:42:0509,0.1002,-0.6401,1.7524,1.868
2021-09-05 18:10:42:0610,0.0058,-0.4441,1.5709,1.632
2021-09-05 18:10:42:0730,-0.2095,-0.1343,0.9322,0.965
2021-09-05 18:10:42:0800,-0.3266,0.1847,0.1895,0.42
2021-09-05 18:10:42:0930,-0.4151,0.5831,-0.4655,0.854
2021-09-05 18:10:42:1010,-0.4824,0.9292,-0.4749,1.15
2021-09-05 18:10:42:1130,-0.5142,1.2593,-0.2064,1.376
2021-09-05 18:10:42:1210,-0.6612,1.4422,0.2362,1.604
2021-09-05 18:10:42:1320,-0.8644,1.4224,0.8178,1.855
2021-09-05 18:10:42:1400,-0.9717,1.4786,1.2247,2.152
2021-09-05 18:10:42:1520,-1.0391,1.6974,1.7483,2.649
2021-09-05 18:10:42:1600,-0.9947,1.9343,2.1528,3.06
2021-09-05 18:10:42:1719,-0.9593,2.2627,2.5261,3.524
2021-09-05 18:10:42:1810,-0.9514,2.5841,2.6639,3.831
2021-09-05 18:10:42:1920,-1.0227,3.0112,2.4766,4.031
2021-09-05 18:10:42:2010,-1.1918,3.1814,2.1575,4.025
2021-09-05 18:10:42:2130,-1.5357,3.3709,1.7188,4.084
2021-09-05 18:10:42:2200,-1.7632,3.4591,1.558,4.183
2021-09-05 18:10:42:2330,-2.1331,3.4962,1.4317,4.339
2021-09-05 18:10:42:2490,-2.3742,3.5527,1.415,4.501
2021-09-05 18:10:42:2510,-2.6222,3.4737,1.413,4.576
2021-09-05 18:10:42:2620,-2.766,3.447,1.5767,4.692
2021-09-05 18:10:42:2720,-2.8631,3.3444,1.7217,4.727
2021-09-05 18:10:42:2800,-2.9081,3.2429,1.7735,4.703
2021-09-05 18:10:42:2920,-2.8293,3.2541,1.8008,4.673
2021-09-05 18:10:42:3020,-2.7063,3.2313,1.5879,4.504
2021-09-05 18:10:42:3130,-2.586,3.2556,1.2895,4.353
2021-09-05 18:10:42:3200,-2.3935,3.3342,1.2554,4.292
2021-09-05 18:10:42:3360,-2.134,3.2905,1.2083,4.104
2021-09-05 18:10:42:3560,-2.0146,3.3649,1.4085,4.167
2021-09-05 18:10:42:3560,-1.8732,3.246,1.6334,4.088
2021-09-05 18:10:42:3600,-1.7812,3.0491,1.9805,4.049
2021-09-05 18:10:42:3720,-1.8028,2.7256,2.3664,4.035
2021-09-05 18:10:42:3810,-1.7672,2.4892,2.6096,4.016
2021-09-05 18:10:42:3940,-1.589,2.2833,2.6675,3.854
2021-09-05 18:10:42:4010,-1.3996,2.1377,2.5733,3.626
2021-09-05 18:10:42:4120,-1.1681,2.0787,2.2832,3.301
2021-09-05 18:10:42:4200,-1.0165,1.8716,2.1244,3.008
2021-09-05 18:10:42:4330,-0.9267,1.5623,2.0529,2.741
2021-09-05 18:10:42:4460,-0.8669,1.2727,2.0998,2.604
2021-09-05 18:10:42:4520,-0.807,0.7613,2.1575,2.426
2021-09-05 18:10:42:4600,-0.7299,0.3801,2.1861,2.336
2021-09-05 18:10:42:4710,-0.632,0.133,2.2659,2.356
2021-09-05 18:10:42:4810,-0.4567,-0.2206,2.1539,2.213
2021-09-05 18:10:42:4920,-0.2604,-0.4761,1.978,2.051
2021-09-05 18:10:42:5010,-0.016,-0.6923,1.8484,1.974
2021-09-05 18:10:42:5120,0.2816,-0.8848,1.7344,1.967
2021-09-05 18:10:42:5210,0.4899,-1.0689,1.6762,2.048
2021-09-05 18:10:42:5330,0.6013,-1.3146,1.5134,2.093
2021-09-05 18:10:42:5480,0.7443,-1.5998,1.3875,2.245
2021-09-05 18:10:42:5510,0.8207,-1.8882,1.3271,2.45
2021-09-05 18:10:42:5600,0.8592,-2.1812,1.1266,2.601
2021-09-05 18:10:42:5729,0.9056,-2.443,0.6361,2.682
2021-09-05 18:10:42:5800,0.9359,-2.6209,0.2942,2.798
2021-09-05 18:10:42:5930,0.9812,-2.7642,-0.0333,2.933
2021-09-05 18:10:42:6000,0.9832,-2.8738,-0.2299,3.046
2021-09-05 18:10:42:6130,0.9611,-3.0402,-0.5165,3.23
2021-09-05 18:10:42:6210,0.9632,-3.1673,-0.6614,3.376
2021-09-05 18:10:42:6350,0.9454,-3.2942,-0.9044,3.545
2021-09-05 18:10:42:6540,0.9444,-3.4634,-0.999,3.726
2021-09-05 18:10:42:6540,0.9848,-3.6024,-1.0123,3.869
2021-09-05 18:10:42:6600,1.0525,-3.7282,-0.9881,3.998
2021-09-05 18:10:42:6730,1.2635,-3.7589,-0.9006,4.067
2021-09-05 18:10:42:6800,1.3294,-3.8589,-0.9326,4.187
2021-09-05 18:10:42:6919,1.3402,-3.9988,-1.1259,4.365
2021-09-05 18:10:42:7010,1.3326,-4.096,-1.2724,4.491
2021-09-05 18:10:42:7120,1.3071,-4.1122,-1.3585,4.524
2021-09-05 18:10:42:7200,1.2642,-4.1328,-1.3292,4.522
2021-09-05 18:10:42:7320,1.2631,-4.1178,-1.4243,4.537
2021-09-05 18:10:42:7600,1.2158,-4.145,-1.4433,4.554
2021-09-05 18:10:42:7620,1.2628,-3.9662,-1.5811,4.453
2021-09-05 18:10:42:7620,1.109,-3.7872,-1.918,4.388
2021-09-05 18:10:42:7730,0.8626,-3.6801,-2.4839,4.523
2021-09-05 18:10:42:7810,0.7559,-3.583,-2.8142,4.618
2021-09-05 18:10:42:7930,0.5611,-3.4264,-3.0655,4.632
2021-09-05 18:10:42:8010,0.4188,-3.3444,-3.1313,4.601
2021-09-05 18:10:42:8110,0.2995,-3.3446,-3.1812,4.626
2021-09-05 18:10:42:8200,0.2145,-3.2626,-3.0827,4.494
2021-09-05 18:10:42:8310,0.2412,-3.2805,-2.7108,4.262
2021-09-05 18:10:42:8490,0.3247,-3.2801,-2.4907,4.131
2021-09-05 18:10:42:8520,0.4324,-3.2399,-2.117,3.894
2021-09-05 18:10:42:8610,0.4871,-3.2369,-1.982,3.827
2021-09-05 18:10:42:8730,0.6613,-3.3456,-1.7313,3.825
2021-09-05 18:10:42:8810,0.6982,-3.3526,-1.6113,3.785
2021-09-05 18:10:42:8920,0.7335,-3.3572,-1.3305,3.685
2021-09-05 18:10:42:9010,0.7227,-3.3513,-1.2171,3.638
2021-09-05 18:10:42:9130,0.7719,-3.2918,-1.1174,3.561
2021-09-05 18:10:42:9210,0.8702,-3.2059,-1.0478,3.483
2021-09-05 18:10:42:9340,1.0403,-3.0377,-0.8979,3.334
2021-09-05 18:10:42:9400,1.115,-2.8763,-0.818,3.191
2021-09-05 18:10:42:9630,1.1527,-2.7412,-0.5455,3.023
2021-09-05 18:10:42:9640,1.1247,-2.5711,-0.5339,2.857
2021-09-05 18:10:42:9730,1.3646,-2.3302,-0.6372,2.775
2021-09-05 18:10:42:9810,1.4702,-2.0048,-0.7251,2.59
2021-09-05 18:10:42:9930,1.7281,-1.7194,-0.6424,2.521
2021-09-05 18:10:43:0000,1.7336,-1.5901,-0.4373,2.393
2021-09-05 18:10:43:0150,1.6624,-1.6061,0.1122,2.314
2021-09-05 18:10:43:0200,1.4917,-1.523,0.5624,2.205
2021-09-05 18:10:43:0340,1.3157,-1.4808,1.1311,2.281
2021-09-05 18:10:43:0530,1.0703,-1.5183,1.6483,2.483
2021-09-05 18:10:43:0530,0.7871,-1.3329,2.3575,2.82
2021-09-05 18:10:43:0600,0.5254,-1.1429,2.7102,2.988
2021-09-05 18:10:43:0720,0.2603,-0.9731,2.9969,3.162
2021-09-05 18:10:43:0810,0.0946,-0.6472,3.0917,3.16
2021-09-05 18:10:43:0920,-0.0035,-0.1338,3.0062,3.009
2021-09-05 18:10:43:1000,-0.0023,0.3095,2.7921,2.809
2021-09-05 18:10:43:1130,-0.1163,0.7511,2.265,2.389
2021-09-05 18:10:43:1190,-0.3078,1.0282,1.8796,2.164
2021-09-05 18:10:43:1340,-0.5664,1.3632,1.6532,2.216
2021-09-05 18:10:43:1530,-0.7243,1.5198,1.7124,2.401
2021-09-05 18:10:43:1540,-0.8034,1.634,1.8359,2.586
2021-09-05 18:10:43:1600,-0.953,1.7366,2.0754,2.869
2021-09-05 18:10:43:1719,-1.0288,1.7191,2.3095,3.057
2021-09-05 18:10:43:1800,-1.1195,1.7993,2.7697,3.487
2021-09-05 18:10:43:1920,-1.2022,1.8422,3.1763,3.864
2021-09-05 18:10:43:2010,-1.1853,1.9311,3.4028,4.088
2021-09-05 18:10:43:2120,-1.2549,2.0768,3.403,4.179
2021-09-05 18:10:43:2220,-1.4312,2.1772,3.1748,4.107
2021-09-05 18:10:43:2330,-1.5778,2.3154,2.7096,3.898
